date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2020-04-21,19.4,13.3,13.55,7.7,,,51,36.9,36,21,-0.1,-1.7,-1.9,-3.6,33,16.92,19.5,6,47,31,101,100.68,100.8,100.6,93.16,92.84,92.95,92.73,,,,,2.9,2.7,2.6,2.3,4.5,0,8.6,6.5,3.5,0,,,,06:19:00,20:46:00,14.45,6.32,20.77,7,7,19,19,3,4,,,,,,,,,,,,,
2020-04-20,20.3,12.32,13,5.7,,,63,43,44,25,1.1,-0.6,-0.4,-1.9,14,7.21,7.5,1,,,101.1,100.86,100.8,100.5,93.2,92.98,92.93,92.66,,,,,3.2,2.7,2.8,2.4,5,0,8,6,3,0,,,,06:22:00,20:44:00,14.37,6.37,20.73,7,7,18,18,5,5,,,,,,,,,,,,,
2020-04-19,14.4,7.92,6.8,-0.8,,-3,81,49.6,56,31,-1.5,-2.8,-2.6,-3.8,22,13.83,14.5,7,43,32,101.2,100.95,101.05,100.9,93.13,92.99,93.03,92.93,,,,,2.6,2.3,2.4,2.1,11.2,0,1.8,0,0,0,,,,06:24:00,20:42:00,14.3,6.4,20.7,7,7,14,14,1,2,,,,,,,,,,,,,
2020-04-18,7.6,3.45,3.7,-0.2,,-4,90,56.3,61,32,-0.2,-5.3,-4.5,-8.9,23,14.33,15.5,8,39,22,102,101.65,101.6,101.2,93.91,93.61,93.56,93.2,,,,,2.8,2.4,2.4,2,14.3,0,0,0,0,0,,,,06:26:00,20:40:00,14.23,6.43,20.67,6,6,6,6,-1,-1,,,,,,,,,,,,,
2020-04-17,12.4,7.51,7.7,3,,,85,62.6,66.5,48,3.8,0.6,0,-3.8,25,18.04,16,7,41,31,101.4,100.78,100.95,100.5,93.37,92.86,93,92.62,,,,,3.1,2.5,2.6,2.1,10.3,0,2.7,0.7,0,0,,,0,06:28:00,20:38:00,14.17,6.47,20.63,5,5,8,9,-1,0,,,,,,,,,,,,,
2020-04-16,12.6,3.47,4.09,-4.4,,-7,88,61.7,60,32,-1.2,-4,-3.6,-6,20,12,11.5,3,28,24,103,102,101.95,100.9,94.78,93.89,93.86,92.93,,,,,3.4,3.1,3.1,2.8,13.9,0,0,0,0,0,,,0,06:31:00,20:36:00,14.08,6.52,20.6,6,6,9,9,1,4,,,,,,,,,,,,,
2020-04-15,3.8,0.79,0.84,-2.1,,-6,79,63.3,66,53,-3.1,-5.5,-6.2,-9.3,20,12.88,12,4,35,34,103.2,103,102.8,102.4,95,94.8,94.67,94.33,,,,,2.9,2.7,2.8,2.6,17.2,0,0,0,0,0,,,1,06:33:00,20:35:00,14.03,6.55,20.58,4,5,3,3,-7,-7,,,,,,,,,,,,,
2020-04-14,7.2,2.95,2.2,-2.8,,-5,89,71.5,72.5,56,0.8,-1.8,-3.2,-7.2,18,11.21,11,4,33,31,102.3,101.77,101.95,101.6,94.24,93.68,93.87,93.5,,,,,3.4,3.1,3.1,2.8,15.8,0,0,0,0,0,,,3,06:35:00,20:33:00,13.97,6.58,20.55,2,2,5,6,-4,-4,,,,,,,,,,,,,
2020-04-13,3.7,-3.21,-3.85,-11.4,,-14,76,54.4,53.5,31,-6.7,-11.6,-10.8,-15,14,5.71,8,2,,,103,102.58,102.5,102,94.69,94.3,94.25,93.81,,,,,3.4,3,3,2.7,21.9,0,0,0,0,0,,,8,06:38:00,20:31:00,13.88,6.63,20.52,5,5,-1,2,-3,-3,,,,,,,,,,,,,
2020-04-12,-3.3,-5.47,-5.4,-7.5,,-13,82,58.6,62,42,-8.7,-12.5,-12.2,-15.7,28,15.79,18,8,51,34,103.1,102.98,103,102.9,94.75,94.7,94.67,94.58,,,,,2.7,2.4,2.5,2.3,23.4,0,0,0,0,0.2,,,6,06:40:00,20:29:00,13.82,6.67,20.48,2,5,-3,-3,-14,-14,,,,,,,,,,,,,
